title,id,type:type,meta:description,tag:1,tag:2,tag:3,tag:4,content:description,time:begin,time:end,thumbnail,meta:country,meta:outside link
Wilhelm Ostwald,19,Person,"Chemist, founder of Die Brücke",Chemistry,Radio,Electricity,,"Wilhelm Ostwald, winner of the Nobel Prize for Chemistry in 1909, is the creator of modern physical chemistry. He is a universalist: he imagined a monetary standard, and was also invested in several international language projects such as Esperanto, its derivative Ido or Weltdeutsch. He founded Die Brücke with to organize intellectual work on an international scale.",1853,1932,OstwaldWilhelm.jpg,Germany,https://fr.wikipedia.org/wiki/Wilhelm_Ostwald
UDC,20,Work,Universal Decimal Classification,Classification,Documentation,,,"The Universal Decimal Classification (UDC) is a library classification system developed by Paul Otlet and Henri La Fontaine at the International Bibliography Institute (IIB) in 1895, based on the Dewey Decimal Classification (DDC), and with the permission of Melvil Dewey. It has been published several times since 1905. It has been translated into 40 languages.",1895,,blank_work.jpg,Belgium,https://fr.wikipedia.org/wiki/Classification_d%C3%A9cimale_universelle
INTD,21,Organization,Institut national des sciences et des techniques de la documentation,Documentation,,,,"The Institut national des sciences et techniques de la documentation (INTD) is an institute of the Conservatoire national des arts et métiers (CNAM), training information and documentation specialists. It was founded in 1950 and is located in Paris. Its first director was Suzanne Briet.",1950,,blank_organization.jpg,France,https://fr.wikipedia.org/wiki/Institut_national_des_techniques_de_la_documentation
Georges Lorphèvre,22,Person,Secretary of Otlet at the Mundaneum,Documentation,,,,"Georges Lorphèvre is a close collaborator of Paul Otlet, taking over from Louis Masure as personal secretary. After Otlet's death, he continued to enrich the collections at the Mundaneum.",1912,1997,LorphevreGeorges.jpg,Belgium,
Cato Van Nederhasselt,23,Person,Wife of Paul Otlet,Otlet Family,Patronage,,,"Cato Van Nederhasselt, a Dutch national, comes from a wealthy family. She becomes Paul Otlet's second wife and supports her husband's projects, including financially. ",1864,1958,VanNederhesseltCato.jpg,Belgium,
Le Corbusier,24,Person,Architect,Architecture,,,,"Le Corbusier is an architect of the modern movement, whose style is driven by functional design. He worked closely with Paul Otlet regarding the World City project, which he imagined could be located near Geneva.",1887,1965,LeCorbusier.jpg,"France, Switzerland",https://fr.wikipedia.org/wiki/Le_Corbusier
Auguste Beernaert,25,Person,Politician and Nobel laureate,Pacifism,Politics,,,"A Catholic politician, Auguste Beernaert was awarded the Nobel Peace Prize in 1909. He represented Belgium at the first peace congress of La Haye in 1899.",1829,1912,BeernaertAuguste.jpg,Belgium,https://fr.wikipedia.org/wiki/Auguste_Beernaert
Charles Buls,26,Person,"Politician, founder of the League of Education",Sociology,Pedagogy,,,"Mayor of Brussels (1881-1899), Charles Buls was a liberal politician and the founder of the Ligue de l'Enseignement. A freemason, he belonged to the same lodge as Henri La Fontaine, Les Amis Philanthropes.",1837,1914,BulsCharles.jpg,Belgium,https://fr.wikipedia.org/wiki/Charles_Buls
Andrew Carnegie,27,Person,"Industry magnate, patron of libraries",Industry,Pacifism,Library,Patronage,"Andrew Carnegie was an industry tycoon who devoted his fortune to numerous philanthropic foundations, supporting in particular international peace and libraries around the world.",1835,1919,CarnegieAndrew.jpg,United States,https://fr.wikipedia.org/wiki/Andrew_Carnegie
Louis Couturat,28,Person,"Philosopher, mathematician, inventor of the Ido",Universal language,Philosophy,Mathematics,,"A mathematician and philosopher, Louis Couturat is also a pacifist committed to the defence of an international language, IDO.",1868,1914,CouturatLouis.jpg,France,https://fr.wikipedia.org/wiki/Louis_Couturat
Ovide Decroly,29,Person,"Physician, reformer pedagogue",Pedagogy,Medicine,Sociology,,"Ovide Decroly was a Belgian teacher and psychologist. He mainly worked with mentally handicapped children, and created a new pedagogical approach nicknamed the ""Decroly plan"".",1871,1932,DecrolyOvide.jpg,Belgium,https://fr.wikipedia.org/wiki/Ovide_Decroly
Hector Denis,30,Person,Rector of the Free University of Brussels,Sociology,University,,,"Hector Denis was the rector of the Université Libre de Bruxelles (1892-1894) and a member of the Society of Social and Political Studies. He triggered a serious crisis in Belgian academe by inviting anarchist Elisée Reclus as a lecturer at Brussels University in 1892. This ultimately caused a schism, with the departure of social reform partisans to found the Université Libre two years later.",1842,1913,DenisHector.jpg,Belgium,https://fr.wikipedia.org/wiki/Hector_Denis
Edouard Descamps,31,Person,"Politician, pacifist",Bibliography,Pacifism,Culture,,"Edouard Descamps is a Belgian Catholic politician. A pacifist and anti-slavery activist, he obtained the first ministry dedicated to culture in Belgium in 1907 (Ministry of Science and Arts).",1847,1933,DescampsEdouard.jpg,Belgium,https://fr.wikipedia.org/wiki/%C3%89douard_Descamps
Adolphe Ferrière,32,Person,"Pedagogue, supporter of a new school",Pedagogy,,,,"A Swiss pedagogue, Adolphe Ferrière is one of the founders of the new education movement. In 1921, he created the International League for New Education, whose charter he drafted.",1879,1960,FerriereAdolphe.jpg,Swiss,https://fr.wikipedia.org/wiki/Adolphe_Ferri%C3%A8re
Alfred Hermann Fried,33,Person,"Journalist, pacifist, supporter of Esperanto",Pacifism,,,, Alfred Hermann Fried was first a bookseller and then a militant journalist. He was awarded the Nobel Peace Prize in 1911. He is the author of an Esperanto manual and several dictionaries.,1864,1921,FriedAlfredHermann.jpg,Austria,https://fr.wikipedia.org/wiki/Alfred_Hermann_Fried
Patrick Geddes,34,Person,"Influential scholar, thinker and pioneer",Biology,Sociology,Urbanism,,"Patrick Geddes, a major theorist of urban planning, introduces the notion of environment in the development of cities. He led multiple architectural, urban planning and encyclopaedic projects. His Collège des Écossais (Scots College) is an attempt to create an international university city. He corresponded with Paul Otlet in French for many years.",1854,1932,GeddesPatrick.jpg,Scotland,https://fr.wikipedia.org/wiki/Patrick_Geddes
Herbert Haviland Field,35,Person,Founder of the Concilium Bibliographicum,Bibliography,Zoology,,,Herbert Haviland Field founded the Concilium Bibliographicum and published various bibliographies in the field of zoology and physiology. He improves the Dewey classification in these subjects.,1876,1921,HavilandFieldHerbert.jpg,United States,https://en.wikipedia.org/wiki/Herbert_Haviland_Field
Paul Héger,36,Person,"Biologist, rector of the Free University of Brussels",Physiology,Sociology,,,"The uncle of Paul Otlet, Paul Héger was a pioneering doctor and rector of the Université libre de Bruxelles. He developed a more experimental approach to medical education. His work earned him the support of industrialist Ernest Solvay for the creation of the Institute of Physiology.",1846,1925,HegerPaul.jpg,Belgium,https://fr.wikipedia.org/wiki/Paul_H%C3%A9ger
Josefa Joteyko,37,Person,"Doctor, pedagogical specialist",Pedagogy,Physiology,,,Josefa Joteyko is a doctor of medicine and is interested in occupational psychology and becomes head of work in psychophysiology. She founded the Institute of Pedology after the 1911 congress and became a member of the League of Nations.,1866,1928,IoteykoJosefa.jpg,Poland,https://fr.wikipedia.org/wiki/J%C3%B3zefa_Joteyko
Georges Lecointe,38,Person,"Military, scientist",Geography,,,,"George Lecointe is one of the member of the Polar expedition on the Belgica. He became the director of the astronomy branch of the Uccle observatory, then director of the observatory. He also heads the International Polar Institute which is part of the OIB.",1869,1929,LecointeGeorges.jpg,Belgium,https://fr.wikipedia.org/wiki/Georges_Lecointe_(officier)
Léon Losseau,39,Person,"Bibliophile and patron, contributor to the UDC",Bibliography,Law,Patronage,,"Léon Losseau, a bibliophile lawyer, contributed to the conception of the CDU and more precisely of class 3, devoted to law and social sciences. He is also a medal collector and the author of an encyclopaedia dedicated to Hainaut.",1869,1949,LosseauLeon.jpg,Belgium,https://fr.wikipedia.org/wiki/L%C3%A9on_Losseau
Octave Maus,40,Person,"Writer, esthete, art critic",Art,Press,,,"This lawyer and art critic participated in the free-aesthetic movement. He directed, with Vendervelde and Picard, the Art Moderne magazine.",1856,1919,MausOctave.jpg,Belgium,https://fr.wikipedia.org/wiki/Octave_Maus
Gaston Moch,41,Person,"Former soldier, pacifist and Esperantist",Pacifism,Universal language,Esperanto,,"After a career in the French army, Gaston Moch devoted himself to pacifism. An Esperantist, he is committed to the defence of human rights.",1859,1935,MochGaston.jpg,France,https://fr.wikipedia.org/wiki/Gaston_Moch
Frédéric Passy,42,Person,Economist and pacifist,Pacifism,Sociology,Economics,,This French economist and politician is a pioneer of the pacifist movement and is committed to feminism and against slavery. He was awarded the Nobel Peace Prize in 1901.,1822,1912,PassyFrederic.jpg,France,https://fr.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Passy
Edmond Picard,43,Person,"Lawyer, jurist",Law,Encyclopedia,Art,University,This important jurist wrote an encyclopedia about Belgian jurisprudence. He got himself involved in politics where he fought for the universal suffrage and became a socialist senator.,1836,1924,PicardEdmond.jpg,Belgium,https://fr.wikipedia.org/wiki/Edmond_Picard
Marie Popelin,44,Person,Doctor of law and feminist,Law,Feminism,,,Marie Popelin was a Belgian lawyer and early feminist political campaigner. She created the first ever Belgian feminist association. Her actions are major in the achievements of gender equality.,1846,1913,PopelinMarie.jpg,Belgium,https://fr.wikipedia.org/wiki/Marie_Popelin
Charles Richet,45,Person,"Scholar, pacifist",Physiology,Bibliography,,,"Pacifist and patriot, Charles Richet is a French physiologist who won the Nobel Prize for Medicine in 1913. He participates in the CDU. Some of his works are now judged eugenics. He also carries out research on the paranormal.",1850,1935,RichetCharles.jpg,France,https://fr.wikipedia.org/wiki/Charles_Richet
Nikolaï Roubakine,46,Person,"Writer, bibliographer",Library,,,,"Nicolaï Roubakine devoted his whole life to books, a passion he inherited with a huge library from his librarian mother. His sympathies for the revolutionary socialists led him to expatriate. He collaborated with Otlet on bibliographic and educational issues.",1862,1946,RoubakineNikolai.jpg,Russia,https://fr.wikipedia.org/wiki/Nikola%C3%AF_Roubakine
Jules Siegfried,47,Person,"Lawyer, politician, feminist",Pacifism,Feminism,Education,,Jules Siegfried is a French politician. He passes a law that favours cheap housing.,1837,1922,SiegfriedJules.jpg,France,https://fr.wikipedia.org/wiki/Jules_Siegfried
Ernest Solvay,48,Person,"Entrepreneur, chemist and inventor",Industry,Sociology,Patronage,,"Friend of Paul Otlet, Ernest Solvay was a chemist and inventor, his success was due to the invention of a major industrial process for the production of sodium carbonate. He invested his fortune in scientific research and in the organisation of many international science congress.See also the virtual exhibition dedicated to him at the Mundaneum: https://artsandculture.google.com/exhibit/QQ8X_Kko?hl=fr",1838,1822,SolvayErnest.jpg,Belgium,https://fr.wikipedia.org/wiki/Ernest_Solvay
Emile Vandervelde,49,Person,Socialist politician,Sociology,Socialism,,,Emile Vandervelde was the director of the Belgian Socialist Party. He was an advocate of the women's suffrage and social democracy. He teaches at the Free University of Brussels. He is one of the administrators of the Institute of Sociology founded by Solvay.,1856,1938,VanderveldeEmile.jpg,Belgium,https://fr.wikipedia.org/wiki/%C3%89mile_Vandervelde
Cyrille Van Overbergh,50,Person,Sociologist and politician,Sociology,Socialism,,,"A politician, he was Secretary General of the Ministry of Science and the Arts, and Director General of Higher Education, Sciences and Letters, Belgium in 1910. He heads the Union of International Associations with Otlet and La Fontaine. A sociologist, he is a member of the Solvay Institute of Sociology and of the International Institute of Sociology.",1866,1959,VanOverberghCyrille.jpg,Belgium,https://nl.wikipedia.org/wiki/Cyrille_Van_Overbergh
Emile Verhaeren,51,Person,"Poet, art critic",Art,Literature,,,"Emile Verhaeren, a poet and passionate art critic, achieved worldwide fame for his avant-garde and expressionism. His work was translated and discussed during his lifetime. He was a friend of Edmond Picard and contributed to the journal L' Art Moderne. He was the first cousin of Maria Van Mons, the mother of Paul Otlet.",1855,1916,VerhaerenEmile.jpg,Belgium,https://fr.wikipedia.org/wiki/%C3%89mile_Verhaeren
Bertha Von Suttner,52,Person,"Writer, pacifist",Pacifism,Press,Literature,,"Bertha Von Suttner was an Austrian pacifist activist, best known for her novel Down with Arms. She was awarded the Nobel Peace Prize in 1905.",1843,1914,VonSuttnerBertha.jpg,Austria,https://fr.wikipedia.org/wiki/Bertha_von_Suttner
Emile Waxweiler,53,Person,"Engineer, Director of the Institute of Sociology",Sociology,Pedagogy,,,"The first director of the Institute of Sociology founded by Solvay, Emile Waxweiler is a statistician who specialises in functional sociology. At the Université libre de Bruxelles, he was a reformist educator.",1867,1916,WaxweilerEmile.jpg,Belgium,https://fr.wikipedia.org/wiki/%C3%89mile_Waxweiler
Institut de Sociologie Solvay,54,Organization,"Scholarly institution, close to the OIB",Sociology,,,,"In Belgium, the social question agitates the progressive political elite. The Institute of Sociology was set up under the impetus of Ernest Solvay. It is supported by specialized study groups and social weeks. The Solvay Institute of Sociology was preceded by an Institute of Social Sciences founded in 1894 at the Hotel Ravenstein. In the same building was the International Office for Sociological Bibliography created the previous year by Otlet and La Fontaine. These two institutions, which were close both physically and intellectually, cooperated fruitfully for some years. Both were dedicated to emerging and related sciences.",1902,,blank_organization.jpg,Belgium,https://en.wikipedia.org/wiki/Solvay_Institute_of_Sociology
Société d'études sociales et politiques,55,Organization,Scholarly institution,Sociology,Politics,,,"This society, created in 1890 by Auguste Couvreur, a mix of progressive personalities, is structured around a library, a bibliographic service and a journal.",1890,,blank_organization.jpg,Belgium,
Congrès universels de la Paix,56,Organization,Universal Peace Congresses,Pacifism,,,,"The first achievement of the peace movement, the Universal Peace Congresses have met annually since 1889.",1889,1939,blank_organization.jpg,,https://fr.wikipedia.org/wiki/Congr%C3%A8s_universels_pour_la_paix
Union interparlementaire,57,Organization,Actor of multilateral institutional cooperation,Pacifism,Politics,,,"A grouping of sovereign parliaments, the IU is a political international institution whose creation in 1889 was dominated by pacifism.",1889,,blank_organization.jpg,,https://fr.wikipedia.org/wiki/Union_interparlementaire
L'Art moderne,58,Organization,"Art journal, an intellectual crossroads",Art,Press,,,"This art magazine was created by Edmond Picard, Octave Maus and Emile Verhaeren. It is a symbol of social art. A true cultural and artistic expression, this magazine is at the cutting edge of modernity.",1881,1914,blank_organization.jpg,Belgium,https://fr.wikipedia.org/wiki/L%27Art_moderne
Université nouvelle de Bruxelles,59,Organization,Independent and free university,Education,University,,,"Born out of a democratic crisis at the University of Brussels, the new university offered free university education from 1894 to 1919. From this experience remains the Institut des Hautes Etudes de Belgique.",1894,1919,blank_organization.jpg,Belgium,https://fr.wikipedia.org/wiki/Universit%C3%A9_nouvelle_de_Bruxelles
Frits Donker Duyvis,60,Person,Successor to Paul Otlet as Director of FDI,Documentation,Library,,,Frits Donker Duyvis is a Dutch librarian who took over Otlet's activities within the International Federation of Documentation (FID).,1894,1961,DonkerDuyvisFrits.jpg,The Netherlands,
Bureau International de la Paix,61,Organization,World's oldest peace organization,Pacifism,,,,"Created in 1891, the Internation Peace Bureau (IPB) is in charge of coordinating the activities of the various pacifist associations.",1891,,blank_organization.jpg,Swiss,https://fr.wikipedia.org/wiki/Bureau_international_de_la_paix
Institut de Physiologie Solvay,62,Organization,Sister institution of the Institute of Sociology,Physiology,,,,The Institute of Physiology was created in 1891 on the initiative of Ernest Solvay at the Université Libre de Bruxelles and it is located in the Parc Léopold in Brussels. Its first director was Paul Héger. It was to be the venue for the Solvay conferences that were to welcome the greatest names in physics at the time.,1891,,blank_organization.jpg,Belgium,https://data.bnf.fr/11749215/institut_solvay_de_physiologie_bruxelles/
Institut de Pédologie,63,Organization,Institution dedicated to pedagogy,Pedagogy,,,,"The Institute of Pedology refers to the project of the new science: pedology as a science of childhood and education. The concept of pedology will remain dominant until the concept of educational science becomes dominant. The project is carried by a transdisciplinary will and the work of documentary collection, note-taking, de Ferrière, Claparède. The institute is based at the Rousseau Institute in Geneva.",,,blank_organization.jpg,Belgium,
Prix Nobel,64,Organization,"Prestigious awards, including the Nobel Peace Prize",Science,Pacifism,,,"Association created on the initiative of Alfred Nobel, it has awarded prizes (including the Nobel Peace Prize) every year since 1901.",1901,,blank_organization.jpg,Sweden,https://fr.wikipedia.org/wiki/Prix_Nobel
Congrès international des habitations à bon marché,65,Organization,Movement that raises the issue of housing,Urbanism,,,,"The first Congrès international des habitations à bon marché was held in 1889 in Paris. Subsequently, a permanent committee was set up in Brussels to serve as a link between the players in this sector.",1889,,blank_organization.jpg,Belgium,
Conseil de Physique,66,Organization,Physics congresses,Physics,,,,The Physics Council or International Physics Council designates the Solvay congresses that will bring together leading scientists.,,,blank_organization.jpg,,https://fr.wikipedia.org/wiki/Habitation_%C3%A0_bon_march%C3%A9
Union de la presse périodique belge,67,Organization,Association of belgian press,Press,,,,This association brings together press professionals linked to the International Press Museum project whose aim is the conservation of newspapers published in the form of an unofficial legal deposit. Paul Otlet is the vice-president and then the president following Octave Maus.,1891,,blank_organization.jpg,Belgium,https://fr.wikipedia.org/wiki/Mus%C3%A9e_international_de_la_presse
Anna Oderfeld,68,Person,Collaborator from educational and museum projects,Education,,,,Works with Paul Otlet and Otto Neurath (NOP). She develops work in educational fields and museum didactics.,1895,1958,OderfeldAnna.jpg,Poland,
Concilium Bibliographicum,69,Organization,Bibliography for zoology,Documentation,Bibliography,,,"The Concilium Bibliographicum, one of largest science information initiatives of the early twentieth century, was created by an idealistic American zoologist, Herbert Haviland Field in Zurich, Switzerland, in 1895.  The objective was to provide complete coverage of the scholarly literature on zoology in all languages using the most sophisticated techniques then available: catalog cards for flexibility, rapid search,  and constant updating; and quick search and rigorously detailed subject  description using the Universal Decimal Classification being developed at the International Institute for Bibliography by Paul Otlet and Henri La Fontaine in Brussels, Belgium, also established in 1895. The plan was to provide a bi-monthly or monthly subscription service on cards which  could be filed cumulatively by subject to provide an always up-to-date  bibliography on zoology and related literature "" ",1895,1914,blank_organization.jpg,"USA, Switzerland",https://en.wikipedia.org/wiki/Concilium_Bibliographicum
NOP,70,Organization,Joint project of Paul Otlet and Otto Neurath,Documentation,Bibliography,Museum,,"NOP or ""Novus Orbis Pictus"" or New Orbis Neurath to Paul Otlet, July Pictus NOP also stands for ""Neurath Otto-Otlet Paul"". It is a joint project between the two men to bring together projects such as Mundaneum, encyclopedia and more specifically to set up didactic exhibitions.",,,NOP.jpg,"Belgium, Austria",
Elisée Reclus,71,Person,Sociologist and anarchist,Geography,Sociology,Anarchism,,"Elisée Reclus is a geographer and sociologist appointed at the Université Libre de Bruxelles, which will lead to the split. Supported at the time by Henri La Fontaine, he also exchanged views with Paul Otlet.",,,ReclusElisee.jpg,France,
Hendrik Christian Andersen,72,Person,"Sculptor, world city project",Architecture,,,,Andersen will be the main partner for the realisation of the plans for the world city.,,,AndersenHendrik.jpg,"USA, Norway",https://fr.wikipedia.org/wiki/Hendrik_Christian_Andersen
Cité Mondiale,73,Organization,Otlet's dream of a World City,Politics,,,,"International or even supranational project of an ideal city in which the institutions of power, knowledge and peace would be grouped together.",,,blank_organization.jpg,,https://fr.wikipedia.org/wiki/Cit%C3%A9_mondiale
Ernest Hébrard,74,Person,"Architect",Architecture,Urbanism,Archeology,,"Hébrard actively participates in the reflections and the tracks of development of a ""world city"".",,,HebrardErnest.jpg,France,https://fr.wikipedia.org/wiki/Ernest_H%C3%A9brard
Shiyali Ramamrita Ranganathan,75,Person,Librarian,Library,Classification,,,"Ranganathan was a mathematician who became a librarian after being recruited during a competition in India. He then decided to train in librarianship in England. He proposed a new, less occidental classification: the faceted classification. It develops the 5 laws of library science.",1892,1972,Ranganathan.jpg,India,https://fr.wikipedia.org/wiki/Shiyali_Ramamrita_Ranganathan
Watson Davis,76,Person,Creator of the American Documentation Institute,Documentation,,,,"Davis is the creator of the American Documentation Institute, inspired by the ideas of Paul Otlet.",,,DavisWatson.jpg,United States,https://en.wikipedia.org/wiki/Watson_Davis
Edouard Claparède,77,Person,"Physician, neurologist and psychologist",Medicine,Education,,,"Friend of Paul Otlet with whom he exchanges during periods of possible transfer from the Mundaneum to Switzerland. Doctor, neurologist and psychologist, he devotes his work to the education of children.",1873,1940,ClaparedeEdouard.jpg,Swiss,https://fr.wikipedia.org/wiki/%C3%89douard_Clapar%C3%A8de
Gaston Mertens,78,Person,Collector and press support,Press,,,,This newpaper collector became a member of the Belgian Press Union. He helped in the creation of the Press Museum. Friend of Otlet,,,blank.jpg,Belgium,
Louis Masure,79,Person,IIB Secretary,Bibliography,,,,Louis Masure starts working for the International Federation for Information and Documentation in 1896 where he works closely with Otlet and La Fontaine on personnel management and work monitoring.,,,MasureLouis.jpg,Belgium,
